year,country,number
2002,Hong Kong,2418872 
2002,Mainland China,1 
2002,Japan,797460 
2002,Korea,120208 
2002,Singapore,190455 
2002,Malaysia,186791 
2002,Thailand,530945 
2002,Philippines,128158 
2002,Indonesia,259610 
2002,Brunei,5850 
2002,Vietnam,225733 
2002,Macao,1269840 
2002,Myanmar,19814 
2002,Cambodia,0 
2002,United States,532180 
2002,Canada,132605 
2002,France,28967 
2002,Germany,18911 
2002,Italy,16346 
2002,Netherlands,129124 
2002,Switzerland,4 
2002,United Kingdom,25764 
2002,Austria,24654 
2002,Australia,70141 
2002,New Zealand,35758 
2002,Palau,15812 
2003,Hong Kong,1869069 
2003,Mainland China,44 
2003,Japan,731330 
2003,Korea,179893 
2003,Singapore,125491 
2003,Malaysia,121267 
2003,Thailand,392414 
2003,Philippines,91418 
2003,Indonesia,251284 
2003,Brunei,3770 
2003,Vietnam,222487 
2003,Macao,837936 
2003,Myanmar,17152 
2003,Cambodia,0 
2003,United States,479264 
2003,Canada,95226 
2003,France,24245 
2003,Germany,20524 
2003,Italy,16367 
2003,Netherlands,105885 
2003,Switzerland,2 
2003,United Kingdom,23432 
2003,Austria,21754 
2003,Australia,70679 
2003,New Zealand,24819 
2003,Palau,28388 
2004,Hong Kong,2559705 
2004,Mainland China,0 
2004,Japan,1051954 
2004,Korea,298325 
2004,Singapore,160088 
2004,Malaysia,180883 
2004,Thailand,422189 
2004,Philippines,112552 
2004,Indonesia,283757 
2004,Brunei,5795 
2004,Vietnam,266115 
2004,Macao,1038006 
2004,Myanmar,18064 
2004,Cambodia,0 
2004,United States,536217 
2004,Canada,112413 
2004,France,26423 
2004,Germany,25160 
2004,Italy,24484 
2004,Netherlands,128162 
2004,Switzerland,0 
2004,United Kingdom,34071 
2004,Austria,22045 
2004,Australia,75957 
2004,New Zealand,21047 
2004,Palau,41909 
2005,Hong Kong,2807027 
2005,Mainland China,0 
2005,Japan,1180406 
2005,Korea,368206 
2005,Singapore,184926 
2005,Malaysia,161296 
2005,Thailand,268231 
2005,Philippines,119125 
2005,Indonesia,185348 
2005,Brunei,296 
2005,Vietnam,234009 
2005,Macao,1163822 
2005,Myanmar,15518 
2005,Cambodia,0 
2005,United States,578998 
2005,Canada,104346 
2005,France,26696 
2005,Germany,33911 
2005,Italy,25809 
2005,Netherlands,121728 
2005,Switzerland,0 
2005,United Kingdom,33831 
2005,Austria,39047 
2005,Australia,87912 
2005,New Zealand,20742 
2005,Palau,31012 
2006,Hong Kong,2993317 
2006,Mainland China,0 
2006,Japan,1214058 
2006,Korea,396705 
2006,Singapore,204834 
2006,Malaysia,181911 
2006,Thailand,379275 
2006,Philippines,110041 
2006,Indonesia,186165 
2006,Brunei,276 
2006,Vietnam,242852 
2006,Macao,1232232 
2006,Myanmar,14606 
2006,Cambodia,0 
2006,United States,593794 
2006,Canada,93244 
2006,France,29287 
2006,Germany,33651 
2006,Italy,20552 
2006,Netherlands,93422 
2006,Switzerland,0 
2006,United Kingdom,39255 
2006,Austria,42096 
2006,Australia,76424 
